"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3018","Click the get started button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2166","click the Connector button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","3991","Click the Charger in the Favorite screen","Map","2026-02-24","passed","2026-02-24","","","",""
"","1230","Click the Add vehicle submit button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2109","Click the Filter Option","Map","2026-02-24","passed","2026-02-24","","","",""
"","4126","Click the Get otp button","Login","2026-02-24","passed","2026-02-24","","","",""
"","3036","Click the ev card back button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","3148","Scroll and Click the type 7 option","Map","2026-02-24","passed","2026-02-24","","","",""
"","3400","Click the Map view button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1116","Click the Hamburger Menu button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1099","Click the Refresh button","Wallet","2026-02-24","passed","2026-02-24","","","",""
"","1168","Click the Review Submit button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1100","Click the add vehicle button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","4464","Update the Review","Map","2026-02-24","passed","2026-02-24","","","",""
"","1482","Click the Brand Drop-down","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2138","Click the Download Recipt","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","769","Click the language drop-down","Profile","2026-02-24","passed","2026-02-24","","","",""
"","7001","Scroll down and Click the apply filter button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1638","Enter Registration Number","Profile","2026-02-24","passed","2026-02-24","","","",""
"","3869","click the ev card back button","Map","2026-02-24","passed","2026-02-24","","","",""
"","986","Click the ev card back button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","885","Click the Map button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","4101","click the Host a station","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","2630","Click the My Bookings","Profile","2026-02-24","passed","2026-02-24","","","",""
"","8917","Click the Delete Button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2649","Enter the Vehicle brand name","Profile","2026-02-24","passed","2026-02-24","","","",""
"","5214","verify the user are sucessfully logged in","Login","2026-02-24","passed","2026-02-24","","","",""
"","5004","Login Screen","Login","2026-02-24","passed","2026-02-24","","","",""
"","4916","Click the Log-out button","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1914","Click the Brand Drop-down","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","12893","Clcik the View Report button","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2103","Remove the Charger from Favorite","Map","2026-02-24","passed","2026-02-24","","","",""
"","1139","Click the My Charger option","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1","Profile","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2230","Click the Active Session option","Map","2026-02-24","passed","2026-02-24","","","",""
"","4249","click the Host a station","Profile","2026-02-24","passed","2026-02-24","","","",""
"","1815","Click the Iam Host buttton","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","1904","Click the Add charger","Profile","2026-02-24","passed","2026-02-24","","","",""
"","2942","click the whats app option","Hamburger Menu","2026-02-24","passed","2026-02-24","","","",""
"","23311","Click the Notification Button","Map","2026-02-24","passed","2026-02-24","","","",""
"","1853","Click the Review button","Map","2026-02-24","passed","2026-02-24","","","",""
